A,B,C
4.516319313406315,2.4712941392449896,5.854524385784419
1.2848243314460293,5.35439546569396,1.8821042049258665
4.001181682243024,10.227592539653182,6.6401417963918155
7.620838696138566,5.319648930481326,9.112528185185198
1.8814345659728589,2.702349505991544,14.89045636107796
2.936057140312971,6.347228372433077,8.570542581220895
4.073897938026483,5.636537448357068,20.720572575690966
11.12358945418746,2.018513356599204,5.584065118320029
4.262372956364706,0.8873102539823137,5.416018905813265
2.4366566209071006,8.29329989913224,8.76379705591364
8.538099050089818,1.837211124315376,8.867586917979938
5.892652956281666,2.0823704888805383,2.3163697764879965
5.333814133917601,0.19898444727174702,0.014674115525420195
5.0707655508167555,1.4020228316284182,0.7641163778049336
6.666522840843755,4.561111230550084,1.946337930889589
1.455680802050729,0.34946303398664824,9.34125383998732
4.5751957091691775,1.9401637316429663,9.016959385756701
1.3655309408780494,8.88791953609326,7.200493419525453
4.585009251831405,2.6881242859043315,2.676384925443843
1.4150625426728363,5.477388998179754,4.47190367148047
1.321999397526648,6.7952940443879495,2.2587274269830893
7.407685798473258,4.805213088014902,6.494193309212571
4.415626825034878,6.574877897481121,3.196571781713766
4.696986355674109,2.0299151308247385,3.1705385061270723
8.952542813391016,0.41415478206685785,2.1155886878749257
0.04661969257190135,4.225258518439238,2.75999908787834
1.2749021350519856,9.59532510849766,14.152279861756718
1.7945209797677508,1.764996519521189,12.732347567046233
0.1602421941085348,11.559849824614322,2.1667236827859915
3.7959377862689907,9.27482553495005,1.2216069006338737
5.471112299939773,6.047015747759316,3.027370940139546
2.1281726483459984,6.844527554424841,6.589385673132691
2.4932387061238037,1.1756067651960693,2.3373620024424757
4.206851075527915,2.4806826625214065,3.2403376407233777
8.517420266638988,0.4186792370702266,4.494683130560306
5.704412465106519,3.3723087808491945,1.8403591522379381
8.837371366304428,1.3765335467514743,5.141838218996499
3.190977266223753,7.26386177046436,2.839159529288531
7.6353985774319915,1.5506209447797845,0.09548128319293037
2.365271930861862,7.3737732889178655,2.659409273408615
8.603741669851694,2.3949170492621787,3.2798324791707096
5.663476446215004,4.083051882269309,3.6765196159782114
3.201721630421865,12.969172854937575,8.11988339955532
7.741828091610888,2.2875087912849565,3.201941906177367
1.3607891737746973,13.738256123276122,4.236639740938468
0.8452797780340777,0.9893902993394406,0.737911430969902
2.7370310630601633,3.460056033780304,0.6250711778200806
0.13609720228766853,1.9144281650080002,8.644566313965772
3.9832055641452513,4.201817706774707,8.166882316769932
6.153723109938031,0.8681866274671028,5.322299919590494
6.88895085991617,3.722374823969548,1.752653182726287
0.49162532140415927,5.598160434496111,0.7336641462580076
3.6508726055927383,4.067655354856101,3.4925678612670383
1.6105391913850604,3.4541425844435025,8.773394031522058
12.310058051123207,7.031837872852185,6.993948592142486
3.9780304456149045,1.1751303145435443,4.952947353106948
2.9333035940474277,1.3864272592829598,0.08588059914148527
2.714391050450357,1.4087513504428717,7.070100018876223
3.7757195642547945,5.861986771877135,2.5712789024027147
8.310440432761267,12.22879362405918,1.11877470715568
6.446485470380052,4.265115963557109,12.915770309430107
3.456024044801752,2.6660366480505804,1.5137641984051804
1.8861944201711145,7.191433433750981,0.160609505097022
4.763006091698589,8.49623277959018,2.552406558880758
3.6070470479717116,1.0916166484270813,9.898973132035044
2.6927253968681404,0.077544487264388,6.357473171441596
9.158944104376822,7.828787766393997,3.2197596118640233
2.6580447214648384,0.027386897734216653,4.076342331965828
8.079101667333742,2.242084715901221,1.0363397131918095
0.7626777343316427,6.511058195359392,3.1097409213652636
